Category: All categories

Time,COVID-19 vaccine: (United States),Economy: (United States),Unemployment: (United States)
2021-06-10T13,20,2,27
2021-06-10T14,20,2,27
2021-06-10T15,22,2,24
2021-06-10T16,21,2,22
2021-06-10T17,23,2,18
2021-06-10T18,21,2,17
2021-06-10T19,21,2,17
2021-06-10T20,21,3,17
2021-06-10T21,19,3,19
2021-06-10T22,20,3,19
2021-06-10T23,15,3,18
2021-06-11T00,15,3,18
2021-06-11T01,15,3,22
2021-06-11T02,15,2,22
2021-06-11T03,21,2,32
2021-06-11T04,28,3,39
2021-06-11T05,26,2,42
2021-06-11T06,25,3,37
2021-06-11T07,23,3,34
2021-06-11T08,23,2,32
2021-06-11T09,22,2,30
2021-06-11T10,21,2,28
2021-06-11T11,20,2,27
2021-06-11T12,19,2,25
2021-06-11T13,19,2,25
2021-06-11T14,19,2,22
2021-06-11T15,19,2,21
2021-06-11T16,18,2,19
2021-06-11T17,19,2,17
2021-06-11T18,18,2,14
2021-06-11T19,19,2,14
2021-06-11T20,18,2,13
2021-06-11T21,17,2,14
2021-06-11T22,17,3,15
2021-06-11T23,14,2,15
2021-06-12T00,13,2,17
2021-06-12T01,12,2,17
2021-06-12T02,12,2,19
2021-06-12T03,15,2,20
2021-06-12T04,18,2,24
2021-06-12T05,20,2,23
2021-06-12T06,20,2,22
2021-06-12T07,20,2,22
2021-06-12T08,20,2,20
2021-06-12T09,18,2,18
2021-06-12T10,18,2,16
2021-06-12T11,17,2,15
2021-06-12T12,16,2,15
2021-06-12T13,15,2,14
2021-06-12T14,14,1,13
2021-06-12T15,14,2,14
2021-06-12T16,13,2,13
2021-06-12T17,13,2,12
2021-06-12T18,14,2,12
2021-06-12T19,14,2,13
2021-06-12T20,15,2,15
2021-06-12T21,14,2,48
2021-06-12T22,13,3,45
2021-06-12T23,12,3,45
2021-06-13T00,12,2,63
2021-06-13T01,12,3,60
2021-06-13T02,10,2,63
2021-06-13T03,14,2,87
2021-06-13T04,15,2,100
2021-06-13T05,18,2,98
2021-06-13T06,18,2,86
2021-06-13T07,18,2,76
2021-06-13T08,18,2,63
2021-06-13T09,16,2,55
2021-06-13T10,15,2,49
2021-06-13T11,15,2,42
2021-06-13T12,14,2,38
2021-06-13T13,14,2,36
2021-06-13T14,13,2,33
2021-06-13T15,14,2,32
2021-06-13T16,14,2,32
2021-06-13T17,14,2,29
2021-06-13T18,14,2,30
2021-06-13T19,14,2,30
2021-06-13T20,15,3,32
2021-06-13T21,15,3,36
2021-06-13T22,13,3,39
2021-06-13T23,12,3,37
2021-06-14T00,12,2,40
2021-06-14T01,12,3,44
2021-06-14T02,12,2,48
2021-06-14T03,16,2,64
2021-06-14T04,24,3,78
2021-06-14T05,22,2,83
2021-06-14T06,21,3,70
2021-06-14T07,21,3,60
2021-06-14T08,21,2,56
2021-06-14T09,21,2,49
2021-06-14T10,20,2,45
2021-06-14T11,20,2,42
2021-06-14T12,20,2,40
2021-06-14T13,19,2,37
2021-06-14T14,19,2,35
2021-06-14T15,19,2,32
2021-06-14T16,17,2,28
2021-06-14T17,18,2,26
2021-06-14T18,17,2,23
2021-06-14T19,17,2,23
2021-06-14T20,17,3,24
2021-06-14T21,16,3,26
2021-06-14T22,15,3,30
2021-06-14T23,13,4,30
2021-06-15T00,12,3,32
2021-06-15T01,13,3,35
2021-06-15T02,12,2,36
2021-06-15T03,16,2,50
2021-06-15T04,22,3,57
2021-06-15T05,22,2,59
2021-06-15T06,21,3,49
2021-06-15T07,20,3,44
2021-06-15T08,20,3,42
2021-06-15T09,20,2,39
2021-06-15T10,21,2,34
2021-06-15T11,20,2,32
2021-06-15T12,20,2,30
2021-06-15T13,19,2,30
2021-06-15T14,19,2,27
2021-06-15T15,20,2,26
2021-06-15T16,18,2,22
2021-06-15T17,18,2,20
2021-06-15T18,18,2,19
2021-06-15T19,18,2,19
2021-06-15T20,17,2,20
2021-06-15T21,16,3,22
2021-06-15T22,15,3,25
2021-06-15T23,14,3,25
2021-06-16T00,13,3,27
2021-06-16T01,10,3,22
2021-06-16T02,12,2,28
2021-06-16T03,14,3,36
2021-06-16T04,17,3,42
2021-06-16T05,20,3,45
2021-06-16T06,19,3,40
2021-06-16T07,21,3,39
2021-06-16T08,19,3,36
2021-06-16T09,18,2,33
2021-06-16T10,18,2,30
2021-06-16T11,18,2,29
2021-06-16T12,17,2,28
2021-06-16T13,17,2,26
2021-06-16T14,17,2,26
2021-06-16T15,18,2,24
2021-06-16T16,17,2,22
2021-06-16T17,17,2,19
2021-06-16T18,16,2,17
2021-06-16T19,16,2,17
2021-06-16T20,16,2,17
2021-06-16T21,15,3,18
2021-06-16T22,13,3,18
2021-06-16T23,12,3,18
2021-06-17T00,12,3,19
2021-06-17T01,11,3,22
2021-06-17T02,12,3,22
2021-06-17T03,15,2,30
2021-06-17T04,20,2,37
2021-06-17T05,21,2,46
2021-06-17T06,19,2,38
2021-06-17T07,19,2,35
2021-06-17T08,18,2,34
2021-06-17T09,17,2,30
2021-06-17T10,17,2,28
2021-06-17T11,17,2,26
2021-06-17T12,16,2,26
